,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
23,F,3,Date,9,0.5 uatm,23,x(CO2),2,0.0,0.0,pHinsitu,1,Dye,1,0.0,0.0,Drake Passage Research,1,0.0,0.0,0.0,0.0,hh:mm,1,0.0,0.0,0.0,0.0,Lat,1
24,ANT XI/1,3,Hour,9,RV Prince Madog,20,PHSPHT,2,0.0,0.0,JulianDay,1,Cell,1,0.0,0.0,21,1,0.0,0.0,0.0,0.0,Air Temperature [°C],1,0.0,0.0,0.0,0.0,x(CO2),1
25,Column,3,Sec,8,20120216,20,TMP,2,0.0,0.0,Year,1,Bot S,1,0.0,0.0,20,1,0.0,0.0,0.0,0.0,true Wind speed [m/s],1,0.0,0.0,0.0,0.0,NO3,1
26,ANT XI/5,3,Wind speed,7,20120215,17,TIME,2,0.0,0.0,hr,1,Comments,1,0.0,0.0,19,1,0.0,0.0,0.0,0.0,Dec. Lon (°E),1,0.0,0.0,0.0,0.0,Salinity,1
27,ANT X/8,2,pCO2air,7,Difference,17,LON,2,0.0,0.0,xCO2atm_dry (ppmv),1,pH correction,1,0.0,0.0,RVIB N. B. Palmer 12/3 ,1,0.0,0.0,0.0,0.0,fCO2atm [μatm],1,0.0,0.0,0.0,0.0,sal,1
28,ANT X/1A,2,TWind1-sp,6,20121112,17,ALKALI,2,0.0,0.0,day,1,CRM-cert,1,0.0,0.0,RPS Tech,1,0.0,0.0,0.0,0.0,fCO2sw [μatm],1,0.0,0.0,0.0,0.0,HTU,1
29,Cast,2,RWInd1-dir,6,CH3I,14,MEHG,2,0.0,0.0,Longitude,1,Uncorrected,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID,1,0.0,0.0,0.0,0.0,lat,1
30,ANT X/6,2,press,6,HCFC22,14,DATE,2,0.0,0.0,year,1,Anal. Time,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,xCO2atm [ppmv],1,0.0,0.0,0.0,0.0,Tmer,1
31,SOIREE_transect,2,REL-HUM,6,CH2Cl2,14,f(CO2)sw,2,0.0,0.0,Date+Time,1,ugC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SW temperature [°C],1,0.0,0.0,0.0,0.0,Final Time (GMT),1
32,SOIREE_fCO2air,2,depth,6,CH2Br2,14,x(CO2)air,2,0.0,0.0,sec,1,Analysis,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mon/day/yr,1,0.0,0.0,0.0,0.0,Initial depth (m),1
33,cast ,2,RWind1-sp,6,PCE,14,SILCAT,2,0.0,0.0,BEN,1,Density,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dec. Lat (°N),1,0.0,0.0,0.0,0.0,Time,1
34,TALK   ,2,sal,6,CHBr3,14,DOC,2,0.0,0.0,month,1,Time,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atm. Pressure [mbar],1,0.0,0.0,0.0,0.0,SiO4H4,1
35,Max   ,2,fluor,6,CHCl3,14,,2,0.0,0.0,Date/Time,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,salinity [psu],1,0.0,0.0,0.0,0.0,Long,1
36,Stnd,2,TWind1-dir,6,CFC11,14,SALNTY,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,NO2,1,xCO2DryAir,6,A,14,DEPTH,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,SIGMA_THET,1,total UV,5,CFC12,14,FCO2 (PATM),1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,fCO2A_uATM,1,[CO2]Tair (uMol/Kg),5,CH3Br,14,TCARBN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OXY_WINK,1,fCO2w,5,CFC113,14,OXYGEN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,RR.RRR,1,dfCO2w-a,5,MC,14,ICE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,SHIP_HEADING_TRUE_DEGREE,1,pCO2w,5,C6H6,14,DATE/HOUR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,QCTALK,1,solar rad,5,B,14,Date/Hour,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,DEPTH,1,[CO2]Twater(uMol/Kg),5,H1211,14,NO3+NO2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2016/07/28,1,UV-B,5,CH3Cl,14,PH_NBS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,C,1,Temp_seawater,5,CCl4,14,SSS2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,ddee,1,Temp_Equilibrator,5,Double single point (4.45;4.41) Open flask,13,DIC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TALK_CALC,1,dpCO2w-a,5,0.5 ppm,13,Nst,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,KHF,1,PAR,5,Absolute,13,NO3+NO2 ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
