,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
20,CTDPRS,84,Difference,17,EXPOCODE,50,FCO2_WAT_SST,182,Cruise_ID,14,DEL_XCO2,431,pH correction,1,WBT,4,DAY_OF_YEAR,8,Cruise ID,242,fCO2a_uatm,80,0.0,0.0,0.0,0.0,20020926WHPSIOKJU,4,fCO2  SW (sat) uatm,146
21,DEPTH,83,20121112,17,  SST [deg C],41,PCO2_WAT_SST,182,Time_UTC,8,SHIP_SPEED,431,T,1,BAROKP,4,YYYY,8,JD_GMT,161,xCO2a_ppm,80,0.0,0.0,0.0,0.0,20081126PRINUNIVRMK,4,xCO2  SW (wet) (umol/mol),146
22,PHSPHT,82,20120215,17,Latitude,36,XCO2_EQ,179,Date_UTC,8,SOLAR_RAD,431,Bot S,1,SOURCE,4,DD,8,Ship,149,Cruise,80,0.0,0.0,0.0,0.0,20101227MIRCJHATS,4,Licor Atm Pressure  (hPa),145
23,OXYGEN,82,CH2Cl2,14,Longitude,32,XH2O,134,Temp_C,7,FCO2_SST,431,A2,1,15,4,ATM_PRE,7,Group_Ship,115,EqTemp_C,80,0.0,0.0,0.0,0.0,20020606WHPSIOSA,4,SST,131
24,BTLNBR,81,CHCl3,14,SST [degC],21,XCO2_WAT_SST,134,Date_EDT,7,PCO2_AIR_FLAG,431,Dy,1,SAL,4,SS,7,EXPOCODE,115,dfCO2_uatm,78,0.0,0.0,0.0,0.0,20120718PRINUNIVRMK,4,SSS,130
25,SILCAT_FLAG_W,79,B,14,Latitude [degN],21,DATE,110,Time_EDT,7,ABSOLUTE_WIND_SPEED,431,A1,1,DBT,4,PCO2raw,6,DATE_UTC_ddmmyyyy,47,fCO2w@SST_uatm,72,0.0,0.0,0.0,0.0,20061130WHPSIODBK,4,% O2,125
26,CASTNO,78,MC,14,phosphate,21,TIME,108,EXPOCODE,6,AIR_FCO2_FLAG,431,Anal. Time,1,SOG,2,OXYGEN,5,Cruise_ID,43,Date,70,0.0,0.0,0.0,0.0,20061204WHPSIODBK,3,Cruise,71
27,TIME,77,CFC113,14,wind_speed_true [m/s],21,MINUTE,99,sal,6,XCO2_SST,431,730,1,SOG#2,2,OXYGEN_TMP,5,QC_flag,32,Pres_Equil_mB,70,0.0,0.0,0.0,0.0,20140120PRINUNIVRMK,3,Ship,70
28,OXYGEN_FLAG_W,77,CFC12,14,delta pCO2 [uatm],21,SHIP,98,TWind1-dir,6,PCO2_SST,431,Sample,1,RPS Tech,2,PH2O,5,Press_SEALEVEL_hPa,32,Latitude,70,0.0,0.0,0.0,0.0,20001102WHPSIOJJW,3,Mooring,61
29,SALNTY_FLAG_W,74,A,14,oxygen [umol/l],21,PCO2_WAT,96,fluor,6,HUMIDITY,431,434,1,Punta Arenas  Chile,2,GYRD,4,xCO2_ATM_ppm_measured,32,xCO2w_ppm,70,0.0,0.0,0.0,0.0,20091210PRINUNIVRMK,3,xCO2_Air_wet,60
