,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,latitude [degN],13, ,41,XCO2_AIR,628,"Atm xCO2 (dry, running mean) [ppm]",58,NH4 [umol/kg],1,578(Av),2,CTDPRS,84,delta fCO2,73,Air pCO2,69,8,8,PH,7,Salinity,153,FCO2(1013),13, xCO2a,5,TIME,232,0.0,0.0,H2O_flow [LPM],12,20121206MIRCJHATS,6,Lat.(N),3,0.0,0.0,LAT_dec_degree,502,GROUP/SHIP,120,Lon,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,longitude [degE],13,Precision,36,DAY,627,Equi Press [mbar],58,Alk [umol/kg],1, pH ,2,STNNBR,84,Flag_p,73,Wet Bulb,69,4,8,Sal,7,pCO2 Air (sat) uatm,152,VIT,13,     Lat,5,XCO2_AIR_INTERP,216,0.0,0.0,xCO2EQ_PPM [ppm],12,20140206PRINUNIVRMK,6,Long.(W),3,0.0,0.0,xCO2_ATM_ppm,502,dfCO2_uATM,120,Temp_intake,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,xCO2_atm [ppm_dry],13,CO2 Sensor,33,YEAR,627,Atm. xCO2 (dry) [ppm],58,PON [ug/L],1, Ratio [R],2,OXYGEN,82,Bubble Flag,73,Speed,69,9,8,Trans,7,pCO2 SW (sat) uatm,152,xCO2,13,qq.qq,1,XCO2_EQ,206,0.0,0.0,LICOR_flow [mLPM],12,20110314JAMSTECRIGC,5,Station,2,0.0,0.0,LONG_dec_degree,502,xCO2A_PPM,120,Cruise ID,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,date_and_time [MATLAB_format],13,CO2 Sensors,33,MONTH,627,Atm. Pressure [mbar],58,Cruise,1,Denominator,2,PHSPHT,82,fCO2_Eq,73,SST,69,7,8,Sig-t,7,Mooring Name,152,CAP,13,bb,1,SST,194,0.0,0.0,DFCO2_UATM [uatm],12,20091203PRINUNIVRMK,5,Tpot,1,0.0,0.0,PRES_EQU_hPa,502,CRUISE_DESIGNATION,120,CO2x_cor,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,second [UTC],13,NDIR,33,DATE,626,"fCO2 (SST, 100hum) [uatm]",58,POC [ug/L],1,730(Av),2,DEPTH,82,xCO2_SST,73,T Equil,69,10,8,Sigma-T,6,SST (C),152,FCO2(PATM),12,cc,1,FCO2_WAT,170,0.0,0.0,Press_Equil [hPa],12,20081204PRINUNIVRMKPRINUNIVRMK,5,Latitude (decimal ),1,0.0,0.0,QC_SUBFLAG,501,xCO2W_PPM,120,CO2f_atm,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,winddir_rel [deg],13,RV Cefas Endeavour,27,XCO2_EQ,614,"xCO2 (equi temp, dry) [ppm]",58,yyyy-mm-dd hh:mm,1,Cell,1,BTLNBR,81,utc,73,Dy,69,2,8,Chl a,6,Licor Temp (C),151,DATHEUR,9,ii:jj.jjjk,1,JD_GMT,158,0.0,0.0,TEQ [oC],12,20020816WHPSIOHLB,5,Salinity ,1,0.0,0.0,fCO2_SW@SST_uatm,490,fCO2A_uATM,120,DateTime,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,fCO2_sea_wet_IStemp [uatm],13,20051128,25,TIME,610,Equi Temp [deg C],58,PhaeTOT [ug/L],1,A2,1,SILCAT_FLAG_W,79,delta pCO2,73,sea pCO2 ,69,SST,6,PAR,5,xCO2  SW (dry) (umol/mol),146,SAL,9,aaaa,1,FCO2_AIR_INTERP,128,0.0,0.0,fCO2ATM_UATM_INTERPOLATED [uatm],12,20061130WHPSIODBK,4,TA,1,0.0,0.0,DATE_UTC__ddmmyyyy,456,xCO2A_INTERPOLATED_PPM,105,CO2x,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,xCO2_atm_interp [ppm_dry],13,0.5 uatm,23,HOUR,517,Latitude [deg N],58,Longitude [degrees_east],1,Comment,1,CASTNO,78,Flag_f,73,Time(UTC),69,TWD,5,TEMP,4,xCO2  SW (wet) (umol/mol),146,HH,8,ddee,1,FCO2_WAT_SST,120,0.0,0.0,Lat [decimal],12,20010907WHPSIOdm,4,Initial depth (m),1,0.0,0.0,Expocode,396,DATE_DDMMYYYY,94,H2Ox,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,day [UTC],13,20120216,20,PCO2_AIR,480,Longitude [deg E],58,ChlTOT [mg/m^3],1,434,1,OXYGEN_FLAG_W,77,fCO2_sw,49,humid,39,14,5,LONG,3,fCO2  SW (sat) uatm,146,MOORING,8,C,1,QC_FLAG_W,118,0.0,0.0,Press_ATM [hPa],12,20020926WHPSIOKJU,4,Temperature of equilibration ,1,0.0,0.0,YD_UTC,373,DATE_MM/DD/YYYY,91,CO2p_sst,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,equ_pres [mbar],13,RV Prince Madog,20,PCO2_SST,479,"pCO2 (SST, 100hum) [uatm]",58,CTD PAR [uE/m^2/s],1,pH correction,1,EXPOCODE,77,P_atm,49,interp,19,TWS,5,NH3,3,xCO2  Air (wet) (umol/mol),146,FCO2_WAT,8,lll:mm.mmmn,1,CRUISE,118,0.0,0.0,Time [hh:mm:ss],12,20081215PRINUNIVRMK,4,Long ºW,1,0.0,0.0,Group,321,QC_FLAG,86,CO2x_atm,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
